セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
タイトーステーション 盛岡マッハランド店,岩手県盛岡市上堂１−２−３８マッハランド内
ゲームランド盛岡店,岩手県盛岡市前潟４−７−１イオンモール盛岡２Ｆ
サンシャイン,岩手県盛岡市大通２ー７ー２１ジュリアンビル１階
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F
MS仙台南店,宮城県仙台市太白区中田町杉の下34
タイトーステーション 仙台ベガロポリス店,宮城県仙台市太白区西多賀５−２４−１ベガロポリス内
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４
ビーカム松森店,宮城県仙台市泉区松森字斎兵衛５８−１
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1Ｆ〜3Ｆ
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５
セガ仙台,宮城県仙台市青葉区中央２−５−５
プレイランドエフワンＲ,宮城県仙台市青葉区中央２−６−６タベイビルＢ１Ｆ
namcoイオンモール名取店,宮城県名取市杜せきのした5-3-1イオンモール名取2F
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
ＭＳ多賀城店,宮城県多賀城市明月1-168-1
セガワールド古川,宮城県大崎市古川城西15
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１
アミューズメントパークサムワン,宮城県柴田郡村田町沼辺時牡丹山４２−１
ロードインオアシス高清水店,宮城県栗原市高清水大沢１−１
遊楽館ジョイフル,宮城県気仙沼市田中前３−８−１２
ゲームランド佐沼店,宮城県登米市南方町新島前４６−１イオンタウン佐沼ＳＣ
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
セガワールド石巻,宮城県石巻市大街道東4-1-45
プラサカプコン石巻店,宮城県石巻市茜平4丁目104番地 ｲｵﾝ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F
リスチャイルドたかのす店,秋田県北秋田市栄字中綱31-1イオンタウンたかのす店内
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内
ＡＮ・ＫＩＮ・ＴＡＮ五城目店,秋田県南秋田郡五城目町大字大川西野字田屋前138ｲｵﾝSUC五城店
プラサカプコン大曲店,秋田県大仙市和合字坪立１７７イオン大曲ＳＣ２Ｆ
メルヘンランド大館,秋田県大舘市御成町3-7-58いとく大館3F
ｎａｍｃｏイオンタウン大館西店,秋田県大館市根下戸新町18-121イオンタウン大館西内
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
G3ポロス横手南店,秋田県横手市婦気大堤字中田4-1ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ横手南店2階
リスチャイルド湯沢店,秋田県湯沢市字上萩生田162イオンスーパーセンター湯沢店内
リスチャイルド本荘店,秋田県由利本荘市石脇字田中138SC本荘店内
ペニーポット秋田,秋田県秋田市中通2-8-1フォンテ秋田4F
秋田ＯＰＡアミューズパーク,秋田県秋田市千秋久保田町４−２秋田ＯＰＡ内
ラウンドワン秋田店,秋田県秋田市卸町１−１−２
ロックンボウル,秋田県秋田市広面字長沼３０１
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
セガ秋田,秋田県秋田市茨島1-1-16
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
スーパーノバ天童,山形県天童市南町1-5-26
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ
フローラ・SAGAEゲームコーナー,山形県寒河江市本町２−８−３
ゲームゾーントレジャー吉原店,山形県山形市前明石１３５２−５ゲームプラザＢＥ・ＩＮ２内１F
セガワールド北山形,山形県山形市北町1-3-20
スタジオプリモ山形店,山形県山形市城南町１−１−１　霞城セントラル２Ｆ
パルケ・デ・アミーゴ！山形店,山形県山形市嶋北１−３−１
ビーカム成沢店,山形県山形市成沢西５−３−２７
